任务/行为,状态,时间,内容,学习内容
✅番茄小说ai生成2w字,已完成,2025/11/30,"已经上传至番茄小说,正在2w字签约审核",
✅女友北京行程规划,已完成,2025/11/30,"已经全程规划妥当,返程票还没买",
❌健身,延期,2025/11/30,用户118482的健身状态为未开始。,
✅番茄小说ai生成10章节,已完成,2025/12/01,"《
离职后，系统逼我当生活家》",
✅完成一篇短篇小说发布到番茄,已完成,2025/12/01,《孕肚藏龙：听见胎儿心声后，残疾总裁跪求复合》,
✅健身,已完成,2025/12/01,明天练背+腹肌训练,
"✅调研市场,使用ai做一个线上的产品",已完成,2025/12/01,"今天有一个想法,既然我选择ai生成小说,但每次的生成流程都需要我自己粘贴复制,如何可以使用脚本agent等工具让该流程自动部署,而我只需要给它定时运行就好",
✅游戏aimlab训练,已完成,2025/12/01,,
✅番茄小说10章内容,已完成,2025/12/02,,
✅健身🏋️,已完成,2025/12/02,练的肩+腹肌,
❌尝试让gemini给我做一个番茄自动发布器,未开始,2025/12/02,咨询了朋友提供了思路,
❌与yjj出去玩,未开始,2025/12/02,"外面太冷了,大风呼呼的,yjj说失恋失眠了,我也不好意思打扰他补觉",
✅番茄小说连更,已完成,2025/12/03,"不仅续写生活家10章,还新开创了一本爽文,短篇小说也发布了2篇,有关供养者,最近这个话题挺火的,看看能不能蹭上热度!",
✅健身🏋️,已完成,2025/12/03,脸的胸+腹肌 (下次直接量化记录重量以及个数还有次数 对比过往是否进步!),
✅让cursor生成自动生成小说,延期,2025/12/03,"已经生成,但离运行还需要努力,加油!",
"✅思考对象来了以及和可欣,rxn/zhc等朋友吃饭",已完成,2025/12/03,周五晚上探店apm的三山火锅;周日中午去吃聚宝源,
✅番茄小说持续更新两部长篇.一篇短文,已完成,2025/12/04,"翻看爆款短文,看看小说的卖点:在小红书上学习:先设定小说的类型,字数,让AI生成卷宗以及大纲,世界观,金手指以及故事线剧情等;接着再次审查设定,审查完后让AI生成10个主要角色,给每个角色附上性格,外貌等特征,以及他们详细的背景和故事,再根据此生成小说的细纲,最后根据小说细纲开始创作小说!",
❌健身🏋️,未开始,2025/12/04,"今日骑行30min 有氧,代替健身!",
"❌继续让cursor完善小说自动生成以及校验完整性,学习agent流程",未开始,2025/12/04,"下午和yjj去网吧,路上聊天,话说回来,网吧环境行,但鼠标键盘真垃圾",
❌学习agent/工作流以及使用的几个关键的工具的含义是什么,延期,2025/12/04,今天学了别的,
"❌做一个大模型更新网站,网站共同维护数据,为为所有的ai大模型编制成历史书,供其阅读翻译,有点野史的感觉",延期,2025/12/04,,
✅oiioii动画生成,已完成,2025/12/04,"尝试完成了几个短篇的动画,效果一般,底层逻辑还是使用的sora,其实就是一个agent,等待时间长,效果一般,但是如果能运气+反复修改,应该能达到想要的效果,提示词的质量太关键!",
✅构建新的小说,已完成,2025/12/04,"学习了小红书爆款提示词,产出了新的男频玄幻小说,我能阅读进去,这应该是进步吧",
✅重构生活家小说,进行中,2025/12/05,"之前的生活家属于短文,节奏单一无趣,我觉得甚是垃圾,不能扩大沉没成本!所以将之前的全部推翻更新创作新的百万级小说,根据在小红书上学到的ai小说逻辑进行更新与替换,今天将前10 章内容都替换好",
✅玄幻小说-第九神谕 10章内容更新,进行中,2025/12/05,"男主获取金手指,双系统,一个幽默一个机械,为他保驾护航!",
✅oiioii小说改供养者视频修改,进行中,2025/12/05,"之前生成的分镜不连贯,重新生成",
❌健身,未开始,2025/12/05,"今日女朋友来北京了,上午收拾东西,下午去接机",
"✅请客,和女朋友可欣三人",已完成,2025/12/05,"不太完美,拿了拍立得,没合照,三出山排队太久了,吃完apm刚好熄灯,没有找到合适的拍照位置",
✅购买鲜花送女友,已完成,2025/12/05,还可以吧,
✅上午故宫,已完成,2025/12/06,去故宫拍照!,
❌下午为水咖啡以及吃小红帽三明治,延期,2025/12/06,顺便路过教堂打卡拍照!明天去,
❌继续重构生活家小说,延期,2025/12/06,10章内容重构,
✅第九神谕小说10章创作,未开始,2025/12/06,"我发现和刚开始创作大纲有点走偏,明天抽时间调整!",
✅oiioii重新创作灵感,未开始,2025/12/06,,
❌健身🏋️,未开始,2025/12/06,,
,,2025/12/06,,
❌早饭,,2025/12/07,"没起来,睡了懒觉",
✅第九神谕小说10章创作,已完成,2025/12/07,已经上传至今日发布上限,
✅oiioii创作,已完成,2025/12/07,"对供养者的背景音乐进行调整,重新寻找素材进行创作!",
❌吵架了,,2025/12/07,"预料之外的事情,感觉我挺敏感,哎...",
,,2025/12/07,,
✅早饭,已完成,2025/12/08,"小民宿感觉早饭种类很少,只有那个小碗的牛肉面口味还行,粥淡淡的我也喜欢",
